id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6GG73Jik4jUlQCkKg9JuGO,The Middle,Jimmy Eat World,78,2001-07-17,0.643,0.849,2,-5.428,1,0.0371,0.0,0.058,0.903,162.152,165853,4
4wzjNqjKAKDU82e8uMhzmr,Face Down,The Red Jumpsuit Apparatus,73,2006-01-01,0.545,0.932,7,-2.189,0,0.000665,0.0,0.127,0.464,92.956,192000,4
5wQnmLuC1W7ATsArWACrgW,Welcome to the Black Parade,My Chemical Romance,76,2006-10-23,0.217,0.905,2,-4.103,1,0.000289,0.00011,0.222,0.236,96.95,311107,4
18GC3F8YPGB8CePXcTUizQ,Thnks fr th Mmrs,Fall Out Boy,0,2007-01-01,0.459,0.891,10,-5.057,0,0.00511,0.0,0.106,0.588,154.837,203507,4
1VSuFS7PahCN3SWbOcQ98m,forget me too (feat. Halsey),Halsey,72,2020-09-25,0.654,0.875,1,-4.845,1,0.000417,0.0086,0.194,0.522,99.975,171621,4
6lI60Z5UEtARdwQfdBYjuD,Voldemort,With Confidence,0,2016-06-17,0.539,0.949,5,-4.23,0,0.000181,2.38e-05,0.746,0.747,103.448,180554,4
23oxJmDc1V9uLUSmN2LIvx,Ocean Avenue,Yellowcard,71,2003-01-01,0.486,0.904,6,-3.751,0,3.43e-05,2.83e-05,0.0947,0.786,173.734,198267,4
5lDriBxJd22IhOH9zTcFrV,Dirty Little Secret,The All-American Rejects,69,2005-01-01,0.465,0.954,10,-4.251,1,0.000346,5.38e-06,0.573,0.458,143.85,193653,4
4cqYUqmKMcb3q1tdImVpGW,Weightless,All Time Low,1,2009-07-07,0.497,0.923,2,-4.512,1,0.00282,0.0,0.158,0.667,181.075,198000,4
0UY4FvG4f9JI6kBR1BlWrZ,That's What You Get,Paramore,64,2007-06-11,0.528,0.831,8,-3.607,1,9.43e-05,0.0,0.141,0.632,131.094,220480,3
6QZ8h3RqIgTRTo3hfaqryx,Black Butterflies and Déjà Vu,The Maine,58,2017-04-07,0.452,0.945,5,-4.515,1,0.0373,4e-05,0.22,0.504,167.95,203058,4
0wNhTMsDRLWAPxGOQRqkOR,Coffee Talk,Broadside,0,2015-05-18,0.287,0.96,8,-2.856,1,0.000298,0.00364,0.375,0.457,173.998,174147,4
